"Healthcare Facility Name","Facility Code","Level","BEmONC / CEmONC","NCU / NICU","TA (Council)","District","Region","Country","Latitude","Longitude","Contact Name","Phone Number","Phone Number 2","Phone Number 3"
"Queen Elizabeth Central Hospital","BT241293","Level 4 (Central Hospitals)","CEmONC","Yes","TA Kapeni","Blantyre","Southern","Malawi","-15.803376","35.0196917","Patrick Kamalo","881738535","",""
"Soche Maternity Health Centre","BT241336","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Somba","Blantyre","Southern","Malawi","-15.8567874","35.0352025","Annipher Mtenje","996929818","889501892",""
"South Lunzu Community Hospital","BT2925","Level 3 (CEmONC Facilities)","CEmONC","No","TA Machinjiri","Blantyre","Southern","Malawi","-15.7267427","35.0546967","South Lunzu","884642157","",""
"St Vincent Mission Hospital","BT2979","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Somba","Blantyre","Southern","Malawi","-15.9140736","34.9501774","St Vincent","882945884","882859467","881376663"
"Zingwangwa Community Hospital","BT241504","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kapeni","Blantyre","Southern","Malawi","-15.8213954","35.0118632","Trinity Kaliwamba","881538485","",""
"Kukalanga Health Centre","DE030228","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chimwala","Machinga","Southern","Malawi","-11.699486","33.5870361","Alinafe Magaso","881234567","",""
"Assalam Health Centre","2539","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","Yes","TA Chimwala","Mangochi","Southern","Malawi","-14.5455815","35.1925352","Omar Daud","881740588","883893762",""
"Billy Riordan Mission Hospital","2567","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namkumba","Mangochi","Southern","Malawi","-14.0320033","34.840615","Tendai Mussa","880597305","","992814442"
"Cape Maclear Dispensary","2594","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Namkumba","Mangochi","Southern","Malawi","-14.0260133","34.851695","Jervis Nyambalo","994256025","","997793439"
"Chikole Health Centre","2501","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Chowe","Mangochi","Southern","Malawi","-14.4220498","35.3843534","Caroline Mtambalika","996823408","991770389",""
"Chilipa Health Centre","2502","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chilipa","Mangochi","Southern","Malawi","-14.7026033","34.9731267","Charles Kumwenda","991950104","999417933","881502286"
"Chilonga Health Centre","2541","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namkumba","Mangochi","Southern","Malawi","-14.4671608","34.8711452","Rafiq Kassim","993726699","",""
"Chiponde Health Centre","2532","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","STA Chiponde","Mangochi","Southern","Malawi","-14.3735749","35.6019938","Faithkautsi","992390002","888356101",""
"Chiumbangame Health Centre","2503","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Jalasi","Mangochi","Southern","Malawi","-14.3194564","35.5557301","Hastingschunga","888973416","995373416",""
"Chiunda Health Centre","2533","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Chiunda","Mangochi","Southern","Malawi","-14.7776715","35.4390643","Hopson Japson","888015147","990624257",""
"Iba Health Centre","2534","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Jalasi","Mangochi","Southern","Malawi","-14.3071711","35.3970931","Elias Kumwenda","997449434","884535894",""
"Jalasi Health Centre","2504","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Jalasi","Mangochi","Southern","Malawi","-14.3628727","35.4426767","Blessings Chigule","991929290","884707220","998388939"
"Kadango Health Centre","2535","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namabvi","Mangochi","Southern","Malawi","-14.0621867","35.1863117","Simon Namagowa","880001131","993099201","888897775"
"Kapire Health Centre","2505","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","Yes","TA Chilipa","Mangochi","Southern","Malawi","-14.785935","34.9994745","Angella Mzunga","997749114","",""
"Katema Health Centre","2506","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","Yes","TA Mponda","Mangochi","Southern","Malawi","-14.5257522","35.0372948","Stellabanda","882456864","",""
"Katuli Health Centre","2507","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Katuli","Mangochi","Southern","Malawi","-14.1797487","35.4447417","Kingsley Selemani","993409191","890400011","884845457"
"Koche Community Hospital","2508","Level 3 (CEmONC Facilities)","BEmONC","No","STA Mambo","Mangochi","Southern","Malawi","-14.3337124","35.1432668","Suzen Jera","888650373","982062640",""
"Kukalanga Health Centre","2509","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chimwala","Mangochi","Southern","Malawi","-14.6374084","35.1803552","Jenalamobe","991031559","","998298414"
"Lugola Health Centre","2510","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chilawe","Mangochi","Southern","Malawi","-13.9614286","35.1428359","Montfort Macheso","888647415","998191695","884123432"
"Lulanga Health Centre","2511","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Lulanga","Mangochi","Southern","Malawi","-13.6871091","34.9170946","Johnkaliza","880360189","884495541","990061238"
"Lungwena Health Centre","2512","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namabvi","Mangochi","Southern","Malawi","-14.2450194","35.2480024","Selina Peter","884432357","",""
"Luwalika Health Centre","2513","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Katuli","Mangochi","Southern","Malawi","-14.2379355","35.4695482","Ndaona Paul Chirombo","881299397","999735028",""
"Maganga Dispensary","2582","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","Yes","TA Hamisi Makanjira","Mangochi","Southern","Malawi","-13.6649301","34.8583049","Tadala Matumula","998332363","886267242","885244430"
"Makanjira Health Centre","2514","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Makanjira","Mangochi","Southern","Malawi","-13.7152829","35.0469667","Asnet Chikwete","884480888","997912072","981631240"
"Malembo Health Centre","2515","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namkumba","Mangochi","Southern","Malawi","-14.237795","34.8316467","Fostinokabandana","991044460","999984628","982578060"
"Maleta Dispensary","2550","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Katuli","Mangochi","Southern","Malawi","-13.9296483","35.263575","Dugalas Benard","882101213","882101213",""
"Malombe Health Centre","2536","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chowe","Mangochi","Southern","Malawi","-14.6304979","35.349086","Henry Chimtengo","881825990","",""
"Malukula Health Centre","2542","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Chowe","Mangochi","Southern","Malawi","-14.4436017","35.3555717","Vincent Makoza","998784855","884658660",""
"Mamakhadija Health Centre","2564","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Jalasi","Mangochi","Southern","Malawi","-14.37077","35.494085","Hawa Mkwanda","884011811","995736184","881606032"
"Mangochi District Hospital","2517","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Mponda","Mangochi","Southern","Malawi","-14.4819318","35.2647579","Victor Kumfunda","993097461","",""
"Mase Health Centre","2518","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chowe","Mangochi","Southern","Malawi","-14.6358596","35.3437106","Stonard Kadewere Banda","880815171","982494502",""
"Mbalama Health Centre","2556","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","Yes","TA Bwananyambi","Mangochi","Southern","Malawi","-14.714475","35.4984583","Kereen Mtantho","885558687","991432284",""
"Mehboob Community Hospital","2586","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","STA Mambo","Mangochi","Southern","Malawi","-14.3645827","35.1671142","Christer Chilambe","881338042","998678382",""
"Mkucingajwambone Health Centre","2543","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chowe","Mangochi","Southern","Malawi","-14.5301402","35.3592531","Joseph Mofolo","987919433","880477411","884306376"
"Mkumba Health Centre","2519","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Bwananyambi","Mangochi","Southern","Malawi","-14.5945907","35.5252514","Misonzi Harawa","888975042","993297333","993765292"
"Monkeybay Community Hospital","2520","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","Yes","TA Namkumba","Mangochi","Southern","Malawi","-14.0847823","34.9109517","Thokozani Jizale","888400321","997107580","881763902"
"Mpondasi Health Centre","2521","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mponda","Mangochi","Southern","Malawi","-14.4535122","35.2435831","Naomi Thipiwa","881293516","997757175",""
"Msaka Dispensary","2599","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","STA Kapichi","Mangochi","Southern","Malawi","-14.0793604","34.8521841","Pilirani Nausa","993340681","888737244",""
"Mtimabi Health Centre","2537","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Chimwala","Mangochi","Southern","Malawi","-14.6110156","35.0824882","Lazarus Chinyama Incharge","885838211","995924974","881665939"
"Mulibwanji Community Hospital","2531","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Bwananyambi","Mangochi","Southern","Malawi","-14.5114822","35.5884353","Wyson Gowelo","888355494","994941476",""
"Namalaka Health Centre","2522","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namabvi","Mangochi","Southern","Malawi","-14.123799","35.1937127","Lonnie Kapalamula","996091554","",""
"Namkumba Health Centre","2527","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namkumba","Mangochi","Southern","Malawi","-14.3655795","34.8236329","Fadsonmakuta","995136097","881746891","992884118"
"Namwera Health Centre","2523","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Jalasi","Mangochi","Southern","Malawi","-14.3635133","35.5024767","Emmanuel Sayanjana","881251228","997084513","995729920"
"Nancholi Dispensary","2524","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Bwananyambi","Mangochi","Southern","Malawi","-14.4783293","35.5867861","Allena Chalusa","991686209","881522192","894334411"
"Nangalamu Health Centre","2525","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Bwananyambi","Mangochi","Southern","Malawi","-14.4808888","35.6728684","Geofrey Makawa","991481079","881921459",""
"Nankhwali Health Centre","2526","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","STA Kapichi","Mangochi","Southern","Malawi","-14.1355006","34.8447375","Susanndlovu","997594374","888258041","996309344"
"Ngapani Health Centre","2540","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Katuli","Mangochi","Southern","Malawi","-14.0310389","35.337462","Catherine Mpofu","888988766","888458126","888168569"
"Njereza Dispensary","2574","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","STA Mambo","Mangochi","Southern","Malawi","-14.3392233","35.0315813","Chen Chai","888839842","999806454","884483583"
"Nkope Health Centre","2528","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","Yes","TA Namkumba","Mangochi","Southern","Malawi","-14.2045117","35.033525","Peter Moffat","888377020","994741748",""
"Phirilongwe Health Centre","2529","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Ntonda","Mangochi","Southern","Malawi","-14.5881765","34.8982132","Lloyd Mwale","994772448","884481435","881507966"
"Sinyala Dispensary","2538","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Bwananyambi","Mangochi","Southern","Malawi","-14.5835917","35.5775","Boniface Nkosi","881721386","991128909","881721386"
"Somba Health Centre","2579","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Bwananyambi","Mangochi","Southern","Malawi","-14.6467959","35.5382543","Bashir Wassie","997619719","887880205","990012439"
"Sr Martha Health Centre","2530","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Jalasi","Mangochi","Southern","Malawi","-14.3852359","35.5356207","Cashell Chipondeponde","997339300","888982650","884237218"
"St Martins Mission Hospital","2516","Level 3 (CEmONC Facilities)","CEmONC","Yes","STA Makumba","Mangochi","Southern","Malawi","-14.3474484","35.2936813","Hope Chikwandali","885244455","882131863",""
"St Mary's Community Hospital","2593","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chimwala","Mangochi","Southern","Malawi","-14.5424517","35.1821083","Innocent Kalukuta","997127181","",""
"Amalika Dispensary","3126","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Bvumbwe","Thyolo","Southern","Malawi","-15.992237","35.0316716","Christopher Nyadani","881587609","995445147",""
"Bvumbwe Health Centre","3102","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Bvumbwe","Thyolo","Southern","Malawi","-15.9286083","35.0777583","Denis Filipo","882383096","",""
"Changata Health Centre","3103","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Changata","Thyolo","Southern","Malawi","-16.2325695","35.1475641","Steve Manyozo","881620206","992244173",""
"Chilengo Dispensary","CH310205","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Mphuka","Thyolo","Southern","Malawi","-16.1358928","35.015817","John Mngwira","885288059","",""
"Chimaliro Health Centre","3104","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chimaliro","Thyolo","Southern","Malawi","-15.9770331","35.1815883","Rosina Munyenyembe","881028395","",""
"Chimvu Health Centre","3105","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Boidi","Thyolo","Southern","Malawi","-15.9418851","35.1228315","Naomi Wochi","999578443","",""
"Chingazi Rural Hospital","3106","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Chimaliro","Thyolo","Southern","Malawi","-15.9182201","35.2055775","Zavuta Mofolo","999384329","",""
"Chinthebe Dispensary","3127","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Ngomano","Thyolo","Southern","Malawi","-16.0022334","35.0129849","Joseph Chanunkha","991211856","992910874","888607887"
"Chipho Health Centre","3124","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Nsabwe","Thyolo","Southern","Malawi","-16.2618439","35.2961807","Posiano Ngozo","995025047","",""
"Chisoka Health Centre","CSKA 3127","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Chimaliro","Thyolo","Southern","Malawi","-15.9416133","35.208955","Gloria Gomani","882464909","",""
"Chisoka Health Centre","CSKA3127","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Chimaliro","Thyolo","Southern","Malawi","-15.9415069","35.2089267","Gloria Gomani","882464909","",""
"Kasembeleka Dispensary","160","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Khwethemule","Thyolo","Southern","Malawi","-16.1192866","35.0983131","Eric Chimwaza","888312855","",""
"Khonjeni Health Centre","3109","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kapichi","Thyolo","Southern","Malawi","-16.0968059","35.2715062","Chimwemwe Naluso","888592926","993136724",""
"Khwethemule Health Post","0","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Khwethemule","Thyolo","Southern","Malawi","-16.2061648","35.109801","Carlorine Kamoto","881692230","998266615",""
"Lomola Health Centre","311915","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Ndalama","Thyolo","Southern","Malawi","-16.0247101","35.2896818","Marvelous Chingwanda","999475628","",""
"Mafisi Dispensary","3132","Level 1 (Clinics, Dispensaries, Health Posts)","CEmONC","No","TA Kapichi","Thyolo","Southern","Malawi","-16.0935144","35.2420058","John Nyezelera","881756544","",""
"Makapwa Health Centre","3110","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Kapichi","Thyolo","Southern","Malawi","-16.1818213","35.2797395","Victor Zembesani","997195122","884014308",""
"Makungwa Health Centre","3101","Level 3 (CEmONC Facilities)","BEmONC","No","TA Bvumbwe","Thyolo","Southern","Malawi","-15.939975","35.0266483","Moses Chandamale","884363408","",""
"Malamulo Mission Hospital","3111","Level 3 (CEmONC Facilities)","CEmONC","Yes","TA Khwethemule","Thyolo","Southern","Malawi","-16.1707105","35.1105524","Ferridy Chipapi","888821812","",""
"Mangunda Health Centre","3112","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Nanseta","Thyolo","Southern","Malawi","-16.0288255","35.2615215","Aisha Selemani","888585005","",""
"Mapanga Health Centre","3125","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mbawera","Thyolo","Southern","Malawi","-16.2759825","35.1967701","Everyone Khupawe","899631130","",""
"Mbalanguzi Dispensary","3113","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Mbawera","Thyolo","Southern","Malawi","-16.250923","35.1665436","Mary Mpaso","987037118","",""
"Mianga Health Centre","3141","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Mlenga","Thyolo","Southern","Malawi","-16.0987945","35.0755852","Richard Zidana","993775171","",""
"Mikolongwe Health Centre","3114","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chimaliro","Thyolo","Southern","Malawi","-15.9014693","35.183701","Sellina Kamankodola","999102581","",""
"Mitengo Health Centre","3117","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","Yes","TA Kapichi","Thyolo","Southern","Malawi","-16.111035","35.24543","Mitengo","884955565","","888495556"
"Njale Health Centre","312133","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Mlenga","Thyolo","Southern","Malawi","-16.099107","35.0679117","Moreen Zelina Chalusa","990428386","889892991",""
"Nkhataombere Dispensary","3115","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","Yes","TA Nssbwe","Thyolo","Southern","Malawi","-16.324045","35.26382333333333","Esther Savala","880766897","991504603",""
"Nsabwe Dispensary","3116","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Nsabwe","Thyolo","Southern","Malawi","-16.3399701","35.2010961","Esther Zawanda","894671364","884579519",""
"Ntambanyama Health Centre","3108","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Khwethemule","Thyolo","Southern","Malawi","-16.1267663","35.0844336","Elisha Edward","884183682","",""
"Sandama Health Post","311316","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Mbawera","Thyolo","Southern","Malawi","-16.2051041","35.295507","Sandama Health Post","985339013","",""
"Satemwa Health Centre","3144","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Mlenga","Thyolo","Southern","Malawi","-16.077119","35.0762864","Satemwa","994144460","",""
"St Martin Molere Health Centre","3118","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Changata","Thyolo","Southern","Malawi","-16.2176005","35.1355992","Maria Alick","996455009","","885005671"
"Thekerani Rural Hospital","3119","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Nsabwe","Thyolo","Southern","Malawi","-16.3214576","35.2072577","James Thuthuwa","888740233","",""
"Thomas Health Centre","3120","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Mpenda","Thyolo","Southern","Malawi","-16.0298364","34.9789239","Patrick Malemba","997636140","885129314",""
"Thowera Health Centre","TH311916","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Ndalama","Thyolo","Southern","Malawi","-16.032032","35.3040387","Eluby Makhuda","884961261","",""
"Zoa Health Centre","3122","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mbawera","Thyolo","Southern","Malawi","-16.2376102","35.1997302","Monica Moyowatha","998160636","889702257",""
"Bimbi Health Centre","2701","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Kuntumanje","Zomba","Southern","Malawi","-15.3091643","35.4795231","Dalitso Napawa","884574787","991362411","990208520"
"Chamba Health Centre","2702","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mwambo","Zomba","Southern","Malawi","-15.4656117","35.5168533","Frank Chikhomo","881254674","989274304",""
"Chanco Clinic","2760","Level 1 (Clinics, Dispensaries, Health Posts)","Non-EmONC","No","TA Chikowi","Zomba","Southern","Malawi","-15.3853783","35.3324783","Shaime Saiwale","993058150","",""
"Changalume Barracks Health Centre","2740","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Namadidi","Zomba","Southern","Malawi","-15.3893149","35.2117242","Mphatso Lungu","999920428","",""
"Chilipa Health Centre","2703","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Nkapita","Zomba","Southern","Malawi","-15.3244602","35.1168639","Omex Magalasi","990753399","",""
"Chingale Health Centre","2704","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Namadidi","Zomba","Southern","Malawi","-15.3967362","35.1806802","Steve Balakasi","993287304","888049592",""
"Chipini Health Centre","2705","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Namadidi","Zomba","Southern","Malawi","-15.3893273","35.0946353","Emmanuel Chiomba","994598671","",""
"Chisi Health Centre","2737","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mkumbira","Zomba","Southern","Malawi","-15.3256893","35.60509","Chisi Health Centre","999838093","884405814",""
"Chuluchosema Health Centre","2774","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chikowi","Zomba","Southern","Malawi","-15.4426191","35.3664597","Ulemu Uzale","995646063","",""
"City Health Centre","2723","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chikowi","Zomba","Southern","Malawi","-15.3906436","35.3241701","Regina Bwanali","888555110","999650621","992953037"
"Cobbe Barracks Health Centre","2729","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Mlumbe","Zomba","Southern","Malawi","-15.3905393","35.3054261","Dr Emma Selema","881431809","",""
"Domasi Rural Hospital","2706","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Malemia","Zomba","Southern","Malawi","-15.2808798","35.3993784","Benjamin Aluba","885400540","999415114",""
"H Parker Health Centre","2707","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Malemia","Zomba","Southern","Malawi","-15.2990802","35.3608918","Mphatso Ndeule","888602412","881114793","883553905"
"Khanda Health Centre","2777","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Nkagula","Zomba","Southern","Malawi","-15.3579933","35.51205","Francis Msukwa","882091555","",""
"Lambulira Health Centre","2708","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Chikowi","Zomba","Southern","Malawi","-15.4842909","35.3371998","Debora Kazembe","881499677","992091660","888951481"
"Likangala Health Centre","2709","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Lamusi","Zomba","Southern","Malawi","-15.4279884","35.5443733","James Ridi","881175547","",""
"Machinjiri Health Centre","2733","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Malemia","Zomba","Southern","Malawi","-15.2371503","35.4183067","Chisomo Longwe","992010073","997219615",""
"Maera Health Centre","2739","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mlumbe","Zomba","Southern","Malawi","-15.5097816","35.1315986","Johnasmagalasi","994168892","",""
"Magomero Health Centre","2710","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Ntholowa","Zomba","Southern","Malawi","-15.5615349","35.2610608","Sister Violet Matiki","886651193","",""
"Makina Health Centre","2775","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","STA Lamusi","Zomba","Southern","Malawi","-15.5165807","35.5987366","Wisdom Nsakambewa","884816846","995591819",""
"Makwapala Health Centre","2711","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Nkagula","Zomba","Southern","Malawi","-15.3694063","35.4506469","Golden Kachimanga","884410643","",""
"Masm Med Clinic","2768","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","TA Malemia","Zomba","Southern","Malawi","-15.3785123","35.3315052","Yamikani Linyama Liphuka","995471460","881624618",""
"Matawale Health Centre","2724","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mwambo","Zomba","Southern","Malawi","-15.3905983","35.3595917","Dlamin Nkosi","884980247","",""
"Matiya Health Centre","2712","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","STA Lamusi","Zomba","Southern","Malawi","-15.530293","35.5506208","Joana Mwalamba","884282347","993841894","994459626"
"Mayaka Health Centre","2713","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","STA Mwembere","Zomba","Southern","Malawi","-15.5736439","35.3724936","Sister Mary Gonani","884098090","",""
"Mmambo Health Centre","2731","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Nkapita","Zomba","Southern","Malawi","-15.2626842","35.1596843","Alinafe Nathan Katondo","993886943","886679292",""
"Mwandama Health Centre","2738","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","Yes","TA Mlumbe","Zomba","Southern","Malawi","-15.4980884","35.1881162","Alex Chilewani","991058295","",""
"Naisi Health Centre","2732","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Malemia","Zomba","Southern","Malawi","-15.3577692","35.3850925","Dorothy Kuleti","995601896","884992900",""
"Namadidi Health Centre","3736","Level 1 (Clinics, Dispensaries, Health Posts)","BEmONC","No","STA Mlumbe","Zomba","Southern","Malawi","-15.4096351","35.2487997","Chinsinsi Mndalira","999614289","888914289",""
"Namasalima Health Centre","2714","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Kuntumanje","Zomba","Southern","Malawi","-15.2313769","35.4887842","Robert Kampota","884666144","997537160","986999406"
"Namikango Health Centre","2715","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Mlumbe","Zomba","Southern","Malawi","-15.477289","35.2407195","Rose Monjeza","881571361","",""
"Nasawa Health Centre","2725","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","STA Ntholowa","Zomba","Southern","Malawi","-15.6023286","35.2594559","Precious Kalulu","881038256","",""
"Ngwelero Health Centre","2716","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Ngwelero","Zomba","Southern","Malawi","-15.6663483","35.42741","Gift Malamula","886094444","",""
"Nkasala Health Centre","2717","Level 2 (Health Centers and non-CEmONC Hospitals)","BEmONC","No","TA Nkapita","Zomba","Southern","Malawi","-15.3277172","35.2166504","Innocent Nong'oneza","886538752","",""
"Pirimiti Community Hospital","2718","Level 3 (CEmONC Facilities)","CEmONC","Yes","TA Mwambo","Zomba","Southern","Malawi","-15.4826775","35.4508449","Happy Bruno","884445701","993397599",""
"Police Community Hospital","2728","Level 2 (Health Centers and non-CEmONC Hospitals)","CEmONC","No","TA Chikowi","Zomba","Southern","Malawi","-15.3911117","35.3268712","Often Mnduwira","995281581","",""
"Sadzi Health Centre","2734","Level 2 (Health Centers and non-CEmONC Hospitals)","Non-EmONC","No","TA Chikowi","Zomba","Southern","Malawi","-15.4086818","35.3194392","Beatrice Basikolo","880625206","991809684",""
